Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Notre Dame-2011,2,1.13225,10,0.539179,0.320713,0.722826,0.743147,0.0616087,0.0689543,1.5873,0.222353,0.982349,0.471192,0.8333,N/A,N/A,N/A,0.157396,N/A
Akron-2011,15,1.00895,3.3871,0.501712,0.257375,0.718978,0.688592,0.0557839,0.0937685,1.19565,0.273804,0.959721,0.474163,0.6129,N/A,N/A,N/A,0.172534,N/A
Pittsburgh-2011,1,1.13304,13.5806,0.524533,0.420043,0.668449,0.736791,0.0635015,0.0745164,1.52809,0.273885,0.925286,0.450148,0.871,N/A,N/A,N/A,0.175681,N/A
Butler-2011,8,1.07504,7.48387,0.509538,0.310782,0.72782,0.748414,0.0288521,0.088032,1.11919,0.282755,0.964046,0.488029,0.7097,N/A,N/A,N/A,0.164581,N/A
Old Dominion-2011,9,1.06231,7.54545,0.48654,0.447805,0.663636,0.746615,0.0837209,0.109996,1.17199,0.23759,0.940584,0.473256,0.8182,N/A,N/A,N/A,0.19897,N/A
Kansas St-2011,5,1.02621,7.2,0.497364,0.401475,0.649123,0.718033,0.088254,0.0866555,0.946188,0.289166,0.924483,0.465079,0.7,N/A,N/A,N/A,0.210045,N/A
Utah State-2011,12,1.09532,13.7667,0.525159,0.327982,0.731959,0.761668,0.063602,0.0740079,1.28406,0.264387,0.884522,0.432935,0.9,N/A,N/A,N/A,0.176088,N/A
Wisconsin-2011,4,1.17859,10.3,0.527002,0.335656,0.827214,0.748166,0.0654843,0.058335,1.83945,0.257694,1.00359,0.486016,0.7667,N/A,N/A,N/A,0.123466,N/A
Belmont-2011,13,1.12712,18.4118,0.544066,0.367871,0.736495,0.692308,0.0684852,0.136557,1.1824,0.29168,0.868852,0.456471,0.8824,N/A,N/A,N/A,0.192253,N/A
St Johns-2011,6,1.03503,3.96774,0.493969,0.317938,0.71371,0.692053,0.0559045,0.120253,1.05898,0.276295,0.976337,0.504711,0.6774,N/A,N/A,N/A,0.177993,N/A
Gonzaga-2011,11,1.08014,10.6875,0.525042,0.344017,0.759459,0.731919,0.0656109,0.104544,1.09908,0.266032,0.927998,0.464932,0.7188,N/A,N/A,N/A,0.193073,N/A
BYU-2011,3,1.11299,14.8,0.522023,0.294833,0.756793,0.739089,0.0720772,0.110086,1.31437,0.244435,0.913487,0.459137,0.9,N/A,N/A,N/A,0.150076,N/A
Wofford-2011,14,1.10072,5.9697,0.532833,0.329154,0.690981,0.680717,0.0475087,0.100764,1.22739,0.286024,1.0117,0.5,0.6364,N/A,N/A,N/A,0.174868,N/A
UCLA-2011,7,1.02191,4.87097,0.508403,0.349241,0.683544,0.705056,0.10039,0.0792218,1.01322,0.253604,0.951131,0.457055,0.7097,N/A,N/A,N/A,0.212821,N/A
Michigan St-2011,10,1.00341,2.03448,0.49042,0.343082,0.692308,0.740944,0.0888611,0.0946996,1.13144,0.278054,0.973693,0.480914,0.5517,N/A,N/A,N/A,0.195444,N/A
Florida-2011,2,1.07495,9.13333,0.513585,0.369264,0.710123,0.717484,0.101885,0.126013,1.13624,0.213487,0.873255,0.423734,0.8,N/A,N/A,N/A,0.18392,N/A
UCSB-2011,15,1.00392,0.807692,0.511931,0.283379,0.771967,0.69656,0.0817981,0.111226,0.986523,0.295067,0.991817,0.483051,0.5,N/A,N/A,N/A,0.213808,N/A
