Team1,Team2,Score
Liberty-2013,North Carolina A&T-2013,0.484848485
Boise State-2013,La Salle-2013,0.363636364
James Madison-2013,Long Island-2013,0.616071429
Louisville-2013,North Carolina A&T-2013,0.776785714
Colorado State-2013,Missouri-2013,0.607142857
Oklahoma State-2013,Oregon-2013,0.303030303
Saint Louis-2013,New Mexico State-2013,0.678571429
Memphis-2013,Saint Mary's-2013,0.517857143
Michigan State-2013,Valparaiso-2013,0.598214286
Creighton-2013,Cincinnati-2013,0.535714286
Duke-2013,Albany-2013,0.607142857
Louisville-2013,Colorado State-2013,0.732142857
Oregon-2013,Saint Louis-2013,0.651785714
Memphis-2013,Michigan State-2013,0.166666667
Creighton-2013,Duke-2013,0.257575758
Louisville-2013,Oregon-2013,0.571428571
Michigan State-2013,Duke-2013,0.348484848
Louisville-2013,Duke-2013,0.696428571
Gonzaga-2013,Southern-2013,0.553571429
Pittsburgh-2013,Wichita State-2013,0.227272727
Wisconsin-2013,Mississippi-2013,0.333333333
Kansas State-2013,La Salle-2013,0.46969697
Arizona-2013,Belmont-2013,0.651785714
New Mexico-2013,Harvard-2013,0.409090909
Notre Dame-2013,Iowa State-2013,0.227272727
Ohio State-2013,Iona-2013,0.723214286
Gonzaga-2013,Wichita State-2013,0.409090909
Mississippi-2013,La Salle-2013,0.46969697
Arizona-2013,Harvard-2013,0.705357143
Iowa State-2013,Ohio State-2013,0.454545455
Wichita State-2013,La Salle-2013,0.625
Arizona-2013,Ohio State-2013,0.454545455
Wichita State-2013,Ohio State-2013,0.535714286
Kansas-2013,Western Kentucky-2013,0.5625
North Carolina-2013,Villanova-2013,0.5625
VCU-2013,Akron-2013,0.910714286
Michigan-2013,South Dakota State-2013,0.633928571
UCLA-2013,Minnesota-2013,0.196969697
Florida-2013,Northwestern State-2013,0.785714286
San Diego State-2013,Oklahoma-2013,0.633928571
Georgetown-2013,Florida Gulf Coast-2013,0.348484848
Kansas-2013,North Carolina-2013,0.607142857
VCU-2013,Michigan-2013,0.121212121
Minnesota-2013,Florida-2013,0.287878788
San Diego State-2013,Florida Gulf Coast-2013,0.348484848
Kansas-2013,Michigan-2013,0.46969697
Florida-2013,Florida Gulf Coast-2013,0.607142857
Michigan-2013,Florida-2013,0.678571429
Indiana-2013,James Madison-2013,0.6875
NC State-2013,Temple-2013,0.439393939
UNLV-2013,California-2013,0.454545455
Syracuse-2013,Montana-2013,0.919642857
Butler-2013,Bucknell-2013,0.607142857
Marquette-2013,Davidson-2013,0.508928571
Illinois-2013,Colorado-2013,0.571428571
Miami (FL)-2013,Pacific-2013,0.758928571
Indiana-2013,Temple-2013,0.553571429
California-2013,Syracuse-2013,0.409090909
Butler-2013,Marquette-2013,0.46969697
Illinois-2013,Miami (FL)-2013,0.439393939
Indiana-2013,Syracuse-2013,0.333333333
Marquette-2013,Miami (FL)-2013,0.589285714
Syracuse-2013,Marquette-2013,0.642857143
Louisville-2013,Wichita State-2013,0.535714286
Michigan-2013,Syracuse-2013,0.544642857
Louisville-2013,Michigan-2013,0.553571429
NC State-2014,Xavier-2014,0.633928571
Albany-2014,Mount St. Mary's-2014,0.5625
Iowa-2014,Tennessee-2014,0.303030303
Cal Poly-2014,Texas Southern-2014,0.607142857
Florida-2014,Albany-2014,0.607142857
Colorado-2014,Pittsburgh-2014,0.060606061
VCU-2014,Stephen F. Austin-2014,0.46969697
UCLA-2014,Tulsa-2014,0.651785714
Ohio State-2014,Dayton-2014,0.484848485
Syracuse-2014,Western Michigan-2014,0.714285714
New Mexico-2014,Stanford-2014,0.424242424
Kansas-2014,Eastern Kentucky-2014,0.598214286
Florida-2014,Pittsburgh-2014,0.642857143
Stephen F. Austin-2014,UCLA-2014,0.242424242
Dayton-2014,Syracuse-2014,0.517857143
Stanford-2014,Kansas-2014,0.526785714
Florida-2014,UCLA-2014,0.598214286
Dayton-2014,Stanford-2014,0.589285714
Florida-2014,Dayton-2014,0.589285714
Virginia-2014,Coastal Carolina-2014,0.598214286
Memphis-2014,George Washington-2014,0.544642857
Cincinnati-2014,Harvard-2014,0.439393939
Michigan State-2014,Delaware-2014,0.633928571
North Carolina-2014,Providence-2014,0.517857143
Iowa State-2014,NC Central-2014,0.660714286
UConn-2014,Saint Joseph's-2014,0.571428571
Villanova-2014,Milwaukee-2014,0.678571429
Virginia-2014,Memphis-2014,0.660714286
Harvard-2014,Michigan State-2014,0.393939394
North Carolina-2014,Iowa State-2014,0.46969697
UConn-2014,Villanova-2014,0.607142857
Virginia-2014,Michigan State-2014,0.46969697
Iowa State-2014,UConn-2014,0.424242424
Michigan State-2014,UConn-2014,0.409090909
Arizona-2014,Weber State-2014,0.580357143
Gonzaga-2014,Oklahoma State-2014,0.571428571
Oklahoma-2014,North Dakota State-2014,0.424242424
San Diego State-2014,New Mexico State-2014,0.535714286
Baylor-2014,Nebraska-2014,0.625
Creighton-2014,Louisiana–Lafayette-2014,0.589285714
Oregon-2014,BYU-2014,0.669642857
Wisconsin-2014,American-2014,0.857142857
Arizona-2014,Gonzaga-2014,0.705357143
North Dakota State-2014,San Diego State-2014,0.212121212
Baylor-2014,Creighton-2014,0.767857143
Oregon-2014,Wisconsin-2014,0.378787879
Arizona-2014,San Diego State-2014,0.553571429
Baylor-2014,Wisconsin-2014,0.242424242
Arizona-2014,Wisconsin-2014,0.484848485
Wichita State-2014,Cal Poly-2014,0.741071429
Kentucky-2014,Kansas State-2014,0.5625
Saint Louis-2014,NC State-2014,0.526785714
Louisville-2014,Manhattan-2014,0.5625
Massachusetts-2014,Tennessee-2014,0.212121212
Duke-2014,Mercer-2014,0.393939394
Texas-2014,Arizona State-2014,0.517857143
Michigan-2014,Wofford-2014,0.651785714
Wichita State-2014,Kentucky-2014,0.46969697
Saint Louis-2014,Louisville-2014,0.272727273
Tennessee-2014,Mercer-2014,0.678571429
Texas-2014,Michigan-2014,0.287878788
Kentucky-2014,Louisville-2014,0.544642857
Tennessee-2014,Michigan-2014,0.46969697
Kentucky-2014,Michigan-2014,0.526785714
Kentucky-2014,Wisconsin-2014,0.508928571
UConn-2014,Florida-2014,0.589285714
Kentucky-2014,UConn-2014,0.409090909
BYU-2015,Ole Miss-2015,0.439393939
Hampton-2015,Manhattan-2015,0.589285714
Boise State-2015,Dayton-2015,0.484848485
North Florida-2015,Robert Morris-2015,0.439393939
Kentucky-2015,Hampton-2015,0.705357143
Cincinnati-2015,Purdue-2015,0.508928571
West Virginia-2015,Buffalo-2015,0.553571429
Maryland-2015,Valparaiso-2015,0.526785714
Butler-2015,Texas-2015,0.571428571
Notre Dame-2015,Northeastern-2015,0.535714286
Wichita State-2015,Indiana-2015,0.544642857
Kansas-2015,New Mexico State-2015,0.669642857
Kentucky-2015,Cincinnati-2015,0.616071429
West Virginia-2015,Maryland-2015,0.589285714
Butler-2015,Notre Dame-2015,0.454545455
Wichita State-2015,Kansas-2015,0.616071429
Kentucky-2015,West Virginia-2015,0.848214286
Notre Dame-2015,Wichita State-2015,0.598214286
Kentucky-2015,Notre Dame-2015,0.517857143
Wisconsin-2015,Coastal Carolina-2015,0.625
Oregon-2015,Oklahoma State-2015,0.553571429
Arkansas-2015,Wofford-2015,0.526785714
North Carolina-2015,Harvard-2015,0.517857143
Xavier-2015,Ole Miss-2015,0.669642857
Baylor-2015,Georgia State-2015,0.484848485
Virginia Commonwealth-2015,Ohio State-2015,0.454545455
Arizona-2015,Texas Southern-2015,0.6875
Wisconsin-2015,Oregon-2015,0.5625
Arkansas-2015,North Carolina-2015,0.363636364
Xavier-2015,Georgia State-2015,0.571428571
Ohio State-2015,Arizona-2015,0.272727273
Wisconsin-2015,North Carolina-2015,0.5625
Xavier-2015,Arizona-2015,0.378787879
Wisconsin-2015,Arizona-2015,0.5625
Villanova-2015,Lafayette-2015,0.866071429
North Carolina State-2015,LSU-2015,0.508928571
Northern Iowa-2015,Wyoming-2015,0.651785714
Louisville-2015,California-Irvine-2015,0.517857143
Providence-2015,Dayton-2015,0.303030303
Oklahoma-2015,Albany-2015,0.580357143
Michigan State-2015,Georgia-2015,0.5625
Virginia-2015,Belmont-2015,0.607142857
