Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Kansas-2012,0.066666667,0.614803361,0.642086222,0.632448368,0.808741521,0.442636046,0.57994296,0.640592013,0.451549043,0.408519443,0.514608741,0.334476418,0.278333147,0.741651272,N/A,N/A,N/A,0.511499621,N/A
Detroit-2012,0.933333333,0.461489089,0.334494534,0.34554029,0.642614413,0.622328456,0.396597332,0.515444934,0.447141334,0.296065023,0.677894777,0.660828196,0.715418951,0.440244422,N/A,N/A,N/A,0.4535786,N/A
Middle Tenn-2013,0.666666667,0.52395262,0.669632036,0.51214663,0.716969624,0.448462658,0.5744222,0.447867633,0.448765672,0.315562071,0.81431032,0.1697377,0.297891255,0.822367486,N/A,N/A,N/A,0.600010297,N/A
St Marys-2013,0.666666667,0.771676975,0.620761017,0.669137434,0.719969034,0.597667733,0.72602463,0.317377114,0.590023857,0.424082442,0.578324427,0.52992317,0.471539408,0.770783004,N/A,N/A,N/A,0.428961246,N/A
Liberty-2013,1,0.286579531,0.128139999,0.329545872,0.425199067,0.580686624,0.366475124,0.258458863,0.18233194,0.207446858,0.635895042,0.798005237,0.498893406,0.083132016,N/A,N/A,N/A,0.562220048,N/A
NC A&amp;T-2013,1,0.032363753,0.219170656,0.124104937,0.464553339,0.261581254,0.366038161,0.515646767,0.380666148,0.13428901,0.683800102,0.34535412,0.336087384,0.242148643,N/A,N/A,N/A,0.705900957,N/A
Boise State-2013,0.8,0.510298751,0.396931207,0.534640585,0.4715609,0.662591687,0.77407169,0.139721427,0.356836602,0.302058881,0.679282781,0.611649112,0.693218695,0.54327128,N/A,N/A,N/A,0.443884643,N/A
La Salle-2013,0.8,0.515812814,0.459621188,0.507147391,0.454171023,0.625941199,0.382403105,0.349336842,0.52706384,0.438612444,0.296868789,0.520349549,0.604224949,0.607929515,N/A,N/A,N/A,0.354917954,N/A
James Mad-2013,1,0.315249737,0.258687036,0.286839883,0.42013861,0.457273535,0.49422317,0.524798698,0.54690276,0.331298267,0.535965073,0.613484487,0.616447213,0.378286202,N/A,N/A,N/A,0.344378167,N/A
LIU-2013,1,0.612206792,0.321180976,0.662454296,0.638502373,0.411763513,0.387721829,0.325749504,0.321873572,0.323863162,0.451050782,0.868729279,0.829547291,0.422765383,N/A,N/A,N/A,0.568457131,N/A
